otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""Euromex - Facility Services, Lda (502629428)""","""Serviços de limpeza""","""350,854.75""",16,8,"""18,255,988.85""","""-345,787.81""","""366,854.58""","""799,340.78""","""30.50%""",211,"""7.05%""",24,"""25.00%"""
"""SAFIRA FACILITYS SERVICES SA (504669451)""","""Serviços de limpeza""","""192,546.50""",19,3,"""28,210,585.41""","""-187,479.56""","""208,546.33""","""957,649.03""","""16.74%""",208,"""8.37%""",29,"""9.38%"""
"""SÁ LIMPA - FACILITY SERVICES, LDA (504458086)""","""Serviços de limpeza""","""182,870.70""",60,16,"""35,527,288.71""","""-177,803.76""","""198,870.53""","""967,324.83""","""15.90%""",167,"""26.43%""",16,"""50.00%"""
"""Nova Serviços. Lda (502117281)""","""Serviços de limpeza""","""111,302.30""",29,9,"""23,571,179.33""","""-106,235.36""","""127,302.13""","""1,038,893.23""","""9.68%""",198,"""12.78%""",23,"""28.12%"""
"""FERROVIAL SERVIÇOS SA (503307483)""","""Serviços de limpeza""","""56,526.72""",13,3,"""14,513,261.85""","""-51,459.78""","""72,526.55""","""1,093,668.81""","""4.91%""",214,"""5.73%""",29,"""9.38%"""
"""Iberlim-Sociedade Técnica de Limpeza, SA (503501670)""","""Serviços de limpeza""","""50,688.98""",6,3,"""14,346,457.56""","""-45,622.04""","""66,688.81""","""1,099,506.55""","""4.41%""",221,"""2.64%""",29,"""9.38%"""
"""FERLIMPA 2 (506278522)""","""Serviços de limpeza""","""50,363.96""",17,4,"""9,217,876.17""","""-45,297.02""","""66,363.79""","""1,099,831.57""","""4.38%""",210,"""7.49%""",28,"""12.50%"""
"""Clece, S.A. (513789995)""","""Serviços de limpeza""","""42,975.74""",18,5,"""9,213,913.95""","""-37,908.80""","""58,975.57""","""1,107,219.79""","""3.74%""",209,"""7.93%""",27,"""15.62%"""
"""Eulen S.A. - Sucursal em Portugal (980122538)""","""Serviços de limpeza""","""28,854.15""",8,2,"""4,856,863.30""","""-23,787.21""","""44,853.98""","""1,121,341.38""","""2.51%""",219,"""3.52%""",30,"""6.25%"""
"""CLECE SA (980359759)""","""Serviços de limpeza""","""12,236.12""",3,1,"""3,591,932.71""","""-7,169.18""","""28,235.95""","""1,137,959.41""","""1.06%""",224,"""1.32%""",31,"""3.12%"""
"""Valorhospital - Gestão e Tratamento de Resíduos Hospitalares S.A. (505488400)""","""Serviços de limpeza""","""10,705.38""",4,1,"""976,800.00""","""-5,638.44""","""26,705.21""","""1,139,490.15""","""0.93%""",223,"""1.76%""",31,"""3.12%"""
"""CLIMEX - CONTROLO DE AMBIENTE SA (501891560)""","""Serviços de limpeza""","""9,522.78""",5,2,"""2,622,986.34""","""-4,455.84""","""25,522.61""","""1,140,672.75""","""0.83%""",222,"""2.20%""",30,"""6.25%"""
"""Limpotécnica - Sociedade de Limpeza Técnica e Mecânica, Lda (500165971)""","""Serviços de limpeza""","""8,680.85""",2,1,"""1,531,358.25""","""-3,613.91""","""24,680.68""","""1,141,514.68""","""0.75%""",225,"""0.88%""",31,"""3.12%"""
"""EUROFACILITIES - SERVIÇOS INTEGRADOS, LDA. (516405675)""","""Serviços de limpeza""","""7,344.07""",3,3,"""1,523,831.29""","""-2,277.13""","""23,343.90""","""1,142,851.46""","""0.64%""",224,"""1.32%""",29,"""9.38%"""
"""Washproof - Serviços de Limpeza, Lda (508427053)""","""Serviços de limpeza""","""7,130.20""",3,1,"""3,491,513.60""","""-2,063.26""","""23,130.03""","""1,143,065.33""","""0.62%""",224,"""1.32%""",31,"""3.12%"""
"""Interlimpe - Facility Services, S. A. (502611057)""","""Serviços de limpeza""","""4,503.99""",3,1,"""501,411.00""","""562.95""","""20,503.82""","""1,145,691.54""","""0.39%""",224,"""1.32%""",31,"""3.12%"""
"""FOAMY SPARKLE - SERVIÇOS TÉCNICOS DE LIMPEZA, LDA. (510573118)""","""Serviços de limpeza""","""3,785.44""",2,1,"""729,575.40""","""1,281.50""","""19,785.27""","""1,146,410.09""","""0.33%""",225,"""0.88%""",31,"""3.12%"""
"""PERENE, S.A (504338854)""","""Serviços de limpeza""","""3,505.70""",1,1,"""322,524.00""","""1,561.24""","""19,505.53""","""1,146,689.83""","""0.30%""",226,"""0.44%""",31,"""3.12%"""
"""Ambiente & Jardim II - Multiservices, S.A. (510314910)""","""Serviços de limpeza""","""3,133.41""",2,2,"""1,951,750.56""","""1,933.53""","""19,133.24""","""1,147,062.12""","""0.27%""",225,"""0.88%""",30,"""6.25%"""
"""SGL CORPORATE FACILITY SERVICES, S.A. (503011487)""","""Serviços de limpeza""","""2,684.63""",1,1,"""246,985.89""","""2,382.31""","""18,684.46""","""1,147,510.90""","""0.23%""",226,"""0.44%""",31,"""3.12%"""
"""VADECA - Facility Services, S.A. (508604460)""","""Serviços de limpeza""","""2,440.50""",2,2,"""2,088,247.16""","""2,626.44""","""18,440.33""","""1,147,755.03""","""0.21%""",225,"""0.88%""",30,"""6.25%"""
"""Vadeca Ambiente - Preservação e Controle, S. A. (505356686)""","""Serviços de limpeza""","""2,320.00""",1,1,"""139,200.00""","""2,746.94""","""18,319.83""","""1,147,875.53""","""0.20%""",226,"""0.44%""",31,"""3.12%"""
"""LF Facility Services (517143550)""","""Serviços de limpeza""","""1,577.45""",3,2,"""506,112.51""","""3,489.49""","""17,577.28""","""1,148,618.08""","""0.14%""",224,"""1.32%""",30,"""6.25%"""
"""ASTROLIMPA (502642769)""","""Serviços de limpeza""","""1,294.71""",1,1,"""394,887.40""","""3,772.23""","""17,294.54""","""1,148,900.82""","""0.11%""",226,"""0.44%""",31,"""3.12%"""
"""Conforlimpa, Lda (503172588)""","""Serviços de limpeza""","""848.62""",1,1,"""309,745.68""","""4,218.32""","""16,848.45""","""1,149,346.91""","""0.07%""",226,"""0.44%""",31,"""3.12%"""
"""Higireal, Lda (507384148)""","""Serviços de limpeza""","""664.44""",1,1,"""203,320.00""","""4,402.50""","""16,664.27""","""1,149,531.09""","""0.06%""",226,"""0.44%""",31,"""3.12%"""
"""CSH, COMERCIO SERVIÇO HIGIENE, LDA. (504346091)""","""Serviços de limpeza""","""541.89""",1,1,"""197,788.56""","""4,525.05""","""16,541.72""","""1,149,653.64""","""0.05%""",226,"""0.44%""",31,"""3.12%"""
"""Garnica Facility Services,Lda (509909515)""","""Serviços de limpeza""","""291.55""",2,1,"""106,412.40""","""4,775.39""","""16,291.38""","""1,149,903.98""","""0.03%""",225,"""0.88%""",31,"""3.12%"""
