otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""COMANSEGUR-SEGURANÇA PRIVADA SA (503586579)""","""Serviços de segurança""","""943,914.31""",16,7,"""6,318,191.23""","""-936,091.04""","""987,424.84""","""284,339.23""","""76.85%""",141,"""10.19%""",28,"""20.00%"""
"""Ronsegur, Rondas e Segurança, Lda (507011724)""","""Serviços de segurança""","""43,565.11""",29,13,"""10,126,752.75""","""-35,741.84""","""87,075.64""","""1,184,688.43""","""3.55%""",128,"""18.47%""",22,"""37.14%"""
"""Vigiexpert, Prevenção e Vigilância Privada, Lda (506807266)""","""Serviços de segurança""","""43,185.08""",16,6,"""12,047,153.16""","""-35,361.81""","""86,695.61""","""1,185,068.46""","""3.52%""",141,"""10.19%""",29,"""17.14%"""
"""COPS – Companhia Operacional de Segurança, Unipessoal, Lda, (508569974)""","""Serviços de segurança""","""38,653.09""",24,7,"""12,391,250.91""","""-30,829.82""","""82,163.62""","""1,189,600.45""","""3.15%""",133,"""15.29%""",28,"""20.00%"""
"""STRONG CHARON, SOLUÇÕES DE SEGURANÇA, S.A. (503257567)""","""Serviços de segurança""","""33,708.55""",5,1,"""2,840,747.24""","""-25,885.28""","""77,219.08""","""1,194,544.99""","""2.74%""",152,"""3.18%""",34,"""2.86%"""
"""Grupo 8 - Vigilância e Prevenção Electrónica, S,A, (500131210)""","""Serviços de segurança""","""24,166.58""",3,1,"""19,175,763.62""","""-16,343.31""","""67,677.11""","""1,204,086.96""","""1.97%""",154,"""1.91%""",34,"""2.86%"""
"""Prestibel - Empresa de Segurança, SA (501326456)""","""Serviços de segurança""","""22,803.74""",15,5,"""6,672,419.24""","""-14,980.47""","""66,314.27""","""1,205,449.80""","""1.86%""",142,"""9.55%""",30,"""14.29%"""
"""Prosegur - Companhia  de Segurança, Lda, (501290567)""","""Serviços de segurança""","""14,579.02""",8,2,"""4,118,612.95""","""-6,755.75""","""58,089.55""","""1,213,674.52""","""1.19%""",149,"""5.10%""",33,"""5.71%"""
"""Praxis Segurança S.A. (515762083)""","""Serviços de segurança""","""12,015.40""",5,2,"""1,018,730.75""","""-4,192.13""","""55,525.93""","""1,216,238.14""","""0.98%""",152,"""3.18%""",33,"""5.71%"""
"""Noite e Dia Vigilância, Lda. (502512709)""","""Serviços de segurança""","""11,839.46""",4,3,"""4,779,019.48""","""-4,016.19""","""55,349.99""","""1,216,414.08""","""0.96%""",153,"""2.55%""",32,"""8.57%"""
"""Charon - Prestação de Serviços de Segurança e Vigilância, S.A. (501718540)""","""Serviços de segurança""","""7,516.38""",4,1,"""856,297.94""","""306.89""","""51,026.91""","""1,220,737.16""","""0.61%""",153,"""2.55%""",34,"""2.86%"""
"""2045-GÁLIA (502332905)""","""Serviços de segurança""","""7,411.25""",7,2,"""2,179,989.06""","""412.02""","""50,921.78""","""1,220,842.29""","""0.60%""",150,"""4.46%""",33,"""5.71%"""
"""2045-Gália/Serviços de Vigilância e Segurança, A.C.E. (513205470)""","""Serviços de segurança""","""6,556.67""",5,3,"""2,028,996.67""","""1,266.60""","""50,067.20""","""1,221,696.87""","""0.53%""",152,"""3.18%""",32,"""8.57%"""
"""Anersegurança S.A. (509612130)""","""Serviços de segurança""","""4,968.72""",2,1,"""1,736,500.00""","""2,854.55""","""48,479.25""","""1,223,284.82""","""0.40%""",155,"""1.27%""",34,"""2.86%"""
"""Visacção segurança Privada, SA (507756002)""","""Serviços de segurança""","""2,660.78""",3,2,"""1,543,313.52""","""5,162.49""","""46,171.31""","""1,225,592.76""","""0.22%""",154,"""1.91%""",33,"""5.71%"""
"""VMSegurança Privada, Vigilâncias e Motivação, Lda (513283021)""","""Serviços de segurança""","""2,653.35""",3,2,"""464,311.76""","""5,169.92""","""46,163.88""","""1,225,600.19""","""0.22%""",154,"""1.91%""",33,"""5.71%"""
"""PSG REAL, LDA. (515366153)""","""Serviços de segurança""","""2,414.40""",2,1,"""705,946.75""","""5,408.87""","""45,924.93""","""1,225,839.14""","""0.20%""",155,"""1.27%""",34,"""2.86%"""
"""Securitas - Serviços e Tecnologias de Segurança, S.A. (500243719)""","""Serviços de segurança""","""2,024.34""",1,1,"""184,215.00""","""5,798.93""","""45,534.87""","""1,226,229.20""","""0.16%""",156,"""0.64%""",34,"""2.86%"""
"""SMA - Segurança Privada Lda (506595200)""","""Serviços de segurança""","""1,309.19""",2,1,"""595,752.40""","""6,514.08""","""44,819.72""","""1,226,944.35""","""0.11%""",155,"""1.27%""",34,"""2.86%"""
"""PSG - Segurança Privada, S.A (508170710)""","""Serviços de segurança""","""1,120.95""",1,1,"""206,255.56""","""6,702.32""","""44,631.48""","""1,227,132.59""","""0.09%""",156,"""0.64%""",34,"""2.86%"""
"""IG5 Segurança Privada, S.A. (515737798)""","""Serviços de segurança""","""698.13""",1,1,"""64,227.50""","""7,125.14""","""44,208.66""","""1,227,555.41""","""0.06%""",156,"""0.64%""",34,"""2.86%"""
"""Eulen Portugal de Segurança, S.A. (505294869)""","""Serviços de segurança""","""489.04""",1,1,"""178,499.88""","""7,334.23""","""43,999.57""","""1,227,764.50""","""0.04%""",156,"""0.64%""",34,"""2.86%"""
