otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""Willis corretores de Seguros S.A. (500188629)""","""Serviços de seguros de acidentes""","""36,667.45""",19,9,"""10,150,491.74""","""-35,342.26""","""36,449.91""","""74,648.31""","""32.94%""",65,"""22.62%""",14,"""39.13%"""
"""Lusitania - Companhia de Seguros, S.A. (501689168)""","""Serviços de seguros de acidentes""","""33,181.78""",24,8,"""9,089,289.82""","""-31,856.59""","""32,964.24""","""78,133.98""","""29.81%""",60,"""28.57%""",15,"""34.78%"""
"""generali (500940231)""","""Serviços de seguros de acidentes""","""17,811.38""",12,7,"""6,232,903.34""","""-16,486.19""","""17,593.84""","""93,504.38""","""16.00%""",72,"""14.29%""",16,"""30.43%"""
"""Fidelidade Companhia de Seguros, S.A. (500918880)""","""Serviços de seguros de acidentes""","""3,979.43""",4,3,"""1,564,406.49""","""-2,654.24""","""3,761.89""","""107,336.33""","""3.57%""",80,"""4.76%""",20,"""13.04%"""
"""Caravela – Companhia de Seguros, S.A. (503640549)""","""Serviços de seguros de acidentes""","""3,516.74""",5,3,"""2,076,787.94""","""-2,191.55""","""3,299.20""","""107,799.02""","""3.16%""",79,"""5.95%""",20,"""13.04%"""
"""MDS – Corretor de Seguros, S.A. (501469460)""","""Serviços de seguros de acidentes""","""3,223.43""",3,2,"""638,934.89""","""-1,898.24""","""3,005.89""","""108,092.33""","""2.90%""",81,"""3.57%""",21,"""8.70%"""
"""Sosel - Corretores de Seguros SA (502379707)""","""Serviços de seguros de acidentes""","""2,848.50""",3,1,"""843,980.44""","""-1,523.31""","""2,630.96""","""108,467.26""","""2.56%""",81,"""3.57%""",22,"""4.35%"""
"""Generali (513300260)""","""Serviços de seguros de acidentes""","""2,521.82""",4,3,"""1,080,490.63""","""-1,196.63""","""2,304.28""","""108,793.94""","""2.27%""",80,"""4.76%""",20,"""13.04%"""
"""Corbroker  - Corretores de Seguros, S.A (503239470)""","""Serviços de seguros de acidentes""","""2,300.83""",3,2,"""775,501.91""","""-975.64""","""2,083.29""","""109,014.93""","""2.07%""",81,"""3.57%""",21,"""8.70%"""
"""Nascente Corretores de Seguros, Lda. (503355623)""","""Serviços de seguros de acidentes""","""1,929.38""",3,2,"""416,027.05""","""-604.19""","""1,711.84""","""109,386.38""","""1.73%""",81,"""3.57%""",21,"""8.70%"""
"""Atlas Seguros - Consultores e Corretores de Seguros, SA (501278699)""","""Serviços de seguros de acidentes""","""1,585.98""",1,1,"""396,495.00""","""-260.79""","""1,368.44""","""109,729.78""","""1.42%""",83,"""1.19%""",22,"""4.35%"""
"""Açoreana Seguros, SA (512004048)""","""Serviços de seguros de acidentes""","""895.45""",2,1,"""370,329.57""","""429.74""","""677.91""","""110,420.31""","""0.80%""",82,"""2.38%""",22,"""4.35%"""
"""VERLINGUE - CORRETOR DE SEGUROS, S.A. (502358416)""","""Serviços de seguros de acidentes""","""853.59""",1,1,"""494,230.71""","""471.60""","""636.05""","""110,462.17""","""0.77%""",83,"""1.19%""",22,"""4.35%"""
