otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""Lusitania - Companhia de Seguros, S.A. (501689168)""","""Serviços de seguros""","""26,321.78""",15,9,"""5,842,514.41""","""-25,180.98""","""26,438.55""","""72,928.12""","""26.52%""",72,"""17.24%""",16,"""36.00%"""
"""Willis corretores de Seguros S.A. (500188629)""","""Serviços de seguros""","""17,830.32""",16,8,"""5,791,025.03""","""-16,689.52""","""17,947.09""","""81,419.58""","""17.97%""",71,"""18.39%""",17,"""32.00%"""
"""generali (500940231)""","""Serviços de seguros""","""16,262.59""",25,8,"""4,588,027.02""","""-15,121.79""","""16,379.36""","""82,987.31""","""16.39%""",62,"""28.74%""",17,"""32.00%"""
"""Fidelidade Companhia de Seguros, S.A. (500918880)""","""Serviços de seguros""","""10,997.99""",9,5,"""4,339,783.11""","""-9,857.19""","""11,114.76""","""88,251.91""","""11.08%""",78,"""10.34%""",20,"""20.00%"""
"""SABSEG - CORRETOR DE SEGUROS, S.A. (500906181)""","""Serviços de seguros""","""9,110.49""",2,1,"""1,679,273.51""","""-7,969.69""","""9,227.26""","""90,139.41""","""9.18%""",85,"""2.30%""",24,"""4.00%"""
"""Caravela – Companhia de Seguros, S.A. (503640549)""","""Serviços de seguros""","""5,528.48""",8,6,"""2,162,786.32""","""-4,387.68""","""5,645.25""","""93,721.42""","""5.57%""",79,"""9.20%""",19,"""24.00%"""
"""VERSPIEREN PORTUGAL - Corretores de Seguros, S.A. (500938326)""","""Serviços de seguros""","""3,935.51""",1,1,"""1,436,460.56""","""-2,794.71""","""4,052.28""","""95,314.39""","""3.97%""",86,"""1.15%""",24,"""4.00%"""
"""Corbroker  - Corretores de Seguros, S.A (503239470)""","""Serviços de seguros""","""3,639.44""",3,2,"""945,356.69""","""-2,498.64""","""3,756.21""","""95,610.46""","""3.67%""",84,"""3.45%""",23,"""8.00%"""
"""Nascente Corretores de Seguros, Lda. (503355623)""","""Serviços de seguros""","""1,668.27""",1,1,"""433,750.90""","""-527.47""","""1,785.04""","""97,581.63""","""1.68%""",86,"""1.15%""",24,"""4.00%"""
"""MDS – Corretor de Seguros, S.A. (501469460)""","""Serviços de seguros""","""1,417.45""",2,2,"""1,160,173.76""","""-276.65""","""1,534.22""","""97,832.45""","""1.43%""",85,"""2.30%""",23,"""8.00%"""
"""UNA Seguros SA (502661321)""","""Serviços de seguros""","""1,315.94""",2,1,"""480,317.70""","""-175.14""","""1,432.71""","""97,933.96""","""1.33%""",85,"""2.30%""",24,"""4.00%"""
"""João Mata, Ldª (500150141)""","""Serviços de seguros""","""602.28""",1,1,"""219,833.95""","""538.52""","""719.05""","""98,647.62""","""0.61%""",86,"""1.15%""",24,"""4.00%"""
"""POPULAR SEGUROS - COMPANHIA DE SEGUROS, S.A (507592034)""","""Serviços de seguros""","""413.89""",1,1,"""149,002.16""","""726.91""","""530.66""","""98,836.01""","""0.42%""",86,"""1.15%""",24,"""4.00%"""
"""Açoreana Seguros, SA (512004048)""","""Serviços de seguros""","""205.47""",1,1,"""74,997.33""","""935.33""","""322.24""","""99,044.43""","""0.21%""",86,"""1.15%""",24,"""4.00%"""
