otherCompanyName,cpvDesignation,totalCpvValueNormalizedFormatted,contractsCount,publicEntitiesCount,totalCpvValueFormatted,distanceAvgCpvValueNormalizedFormatted,distanceStdCpvValueNormalizedFormatted,distanceGlobalCpvValueNormalizedFormatted,marketShareCpvValueNormalizedFormatted,distanceGlobalContractsCount,marketShareContractsCountFormatted,distanceGlobalPublicEntitiesCount,marketSharePublicEntitiesCountFormatted
"""Vigiexpert, Prevenção e Vigilância Privada, Lda (506807266)""","""Serviços de vigilância""","""25,926.45""",13,4,"""5,825,684.42""","""-24,341.09""","""25,904.84""","""92,975.70""","""21.80%""",62,"""17.33%""",22,"""15.38%"""
"""Ronsegur, Rondas e Segurança, Lda (507011724)""","""Serviços de vigilância""","""15,843.13""",11,6,"""5,654,218.20""","""-14,257.77""","""15,821.52""","""103,059.02""","""13.32%""",64,"""14.67%""",20,"""23.08%"""
"""COPS – Companhia Operacional de Segurança, Unipessoal, Lda, (508569974)""","""Serviços de vigilância""","""11,202.34""",9,4,"""3,418,151.59""","""-9,616.98""","""11,180.73""","""107,699.81""","""9.42%""",66,"""12.00%""",22,"""15.38%"""
"""SMA - Segurança Privada Lda (506595200)""","""Serviços de vigilância""","""10,989.69""",1,1,"""2,692,474.62""","""-9,404.33""","""10,968.08""","""107,912.46""","""9.24%""",74,"""1.33%""",25,"""3.85%"""
"""Grupo 8 - Vigilância e Prevenção Electrónica, S,A, (500131210)""","""Serviços de vigilância""","""10,119.90""",5,2,"""2,371,732.15""","""-8,534.54""","""10,098.29""","""108,782.25""","""8.51%""",70,"""6.67%""",24,"""7.69%"""
"""2045-GÁLIA (502332905)""","""Serviços de vigilância""","""9,002.46""",6,4,"""3,932,961.88""","""-7,417.10""","""8,980.85""","""109,899.69""","""7.57%""",69,"""8.00%""",22,"""15.38%"""
"""Prestibel - Empresa de Segurança, SA (501326456)""","""Serviços de vigilância""","""7,394.29""",5,4,"""909,068.01""","""-5,808.93""","""7,372.68""","""111,507.86""","""6.22%""",70,"""6.67%""",22,"""15.38%"""
"""Ovisegur - Vigilância e Segurança, Lda. (507525620)""","""Serviços de vigilância""","""5,975.18""",9,3,"""898,280.95""","""-4,389.82""","""5,953.57""","""112,926.97""","""5.03%""",66,"""12.00%""",23,"""11.54%"""
"""Noite e Dia Vigilância, Lda. (502512709)""","""Serviços de vigilância""","""5,878.28""",1,1,"""1,257,952.71""","""-4,292.92""","""5,856.67""","""113,023.87""","""4.94%""",74,"""1.33%""",25,"""3.85%"""
"""Prosegur - Companhia  de Segurança, Lda, (501290567)""","""Serviços de vigilância""","""4,009.20""",2,1,"""723,639.65""","""-2,423.84""","""3,987.59""","""114,892.95""","""3.37%""",73,"""2.67%""",25,"""3.85%"""
"""STRONG CHARON, SOLUÇÕES DE SEGURANÇA, S.A. (503257567)""","""Serviços de vigilância""","""2,306.61""",1,1,"""668,916.72""","""-721.25""","""2,285.00""","""116,595.54""","""1.94%""",74,"""1.33%""",25,"""3.85%"""
"""VMSegurança Privada, Vigilâncias e Motivação, Lda (513283021)""","""Serviços de vigilância""","""1,924.75""",3,2,"""868,434.99""","""-339.39""","""1,903.14""","""116,977.40""","""1.62%""",72,"""4.00%""",24,"""7.69%"""
"""COMANSEGUR-SEGURANÇA PRIVADA SA (503586579)""","""Serviços de vigilância""","""1,821.64""",3,3,"""142,117.58""","""-236.28""","""1,800.03""","""117,080.51""","""1.53%""",72,"""4.00%""",23,"""11.54%"""
"""Charon - Prestação de Serviços de Segurança e Vigilância, S.A. (501718540)""","""Serviços de vigilância""","""1,730.32""",1,1,"""631,567.44""","""-144.96""","""1,708.71""","""117,171.83""","""1.46%""",74,"""1.33%""",25,"""3.85%"""
"""Securitas - Serviços e Tecnologias de Segurança, S.A. (500243719)""","""Serviços de vigilância""","""1,622.49""",1,1,"""147,646.86""","""-37.13""","""1,600.88""","""117,279.66""","""1.36%""",74,"""1.33%""",25,"""3.85%"""
"""IG5 Segurança Privada, S.A. (515737798)""","""Serviços de vigilância""","""1,384.32""",2,1,"""62,358.11""","""201.04""","""1,362.71""","""117,517.83""","""1.16%""",73,"""2.67%""",25,"""3.85%"""
"""2045-Gália/Serviços de Vigilância e Segurança, A.C.E. (513205470)""","""Serviços de vigilância""","""1,009.35""",1,1,"""736,828.80""","""576.01""","""987.74""","""117,892.80""","""0.85%""",74,"""1.33%""",25,"""3.85%"""
"""Visacção segurança Privada, SA (507756002)""","""Serviços de vigilância""","""761.75""",1,1,"""278,040.00""","""823.61""","""740.14""","""118,140.40""","""0.64%""",74,"""1.33%""",25,"""3.85%"""
